id_game	player	id_player	EFF_per_min	Winscore_min	TS_min	home	sex	class
W401724601	Saniya Rivers	7	0.275862068965517	0.0862068965517241	0.0129310344827586	1	1	3
W401724601	Madison Hayes	6	0.615384615384615	0.358974358974359	0.0147451418637859	1	1	4
W401724607	Tilda Trygger	8	0.157894736842105	0.0263157894736842	0.0210526315789474	0	1	1
W401724607	Zoe Brooks	10	0.710526315789474	0.368421052631579	0.0162337662337662	0	1	2
W401724607	Aziaha James	1	0.230769230769231	-0.115384615384615	0.0142601043024772	0	1	3
W401724607	Saniya Rivers	7	0.216216216216216	0.0945945945945946	0.00696572861521315	0	1	3
W401724607	Madison Hayes	6	0.702702702702703	0.459459459459459	0.0195533153732511	0	1	4
W401724620	Tilda Trygger	8	0.0454545454545455	-0.0454545454545455	0.018628912071535	1	1	1
W401724620	Zoe Brooks	10	0.666666666666667	0.351851851851852	0.025025025025025	1	1	2
W401724620	Aziaha James	1	0.896551724137931	0.46551724137931	0.0223102734347112	1	1	3
W401724620	Saniya Rivers	7	0.758620689655172	0.413793103448276	0.0229704896767917	1	1	3
W401724620	Madison Hayes	6	0.592592592592593	0.407407407407407	0.0286368843069874	1	1	4
W401724623	Tilda Trygger	8	0.714285714285714	0.380952380952381	0.0496031746031746	0	1	1
W401724623	Zoe Brooks	10	0.551724137931034	0.120689655172414	0.0199964450764309	0	1	2
W401724623	Aziaha James	1	0.347826086956522	0.130434782608696	0.0193114102847054	0	1	3
W401724623	Saniya Rivers	7	0.538461538461538	0.25	0.0202922077922078	0	1	3
W401724623	Madison Hayes	6	0.571428571428571	0.428571428571429	0.0208333333333333	0	1	4
W401724636	Tilda Trygger	8	0.5	0.340909090909091	0.0568181818181818	1	1	1
W401724636	Zoe Brooks	10	0.5	0.125	0.0209919390953874	1	1	2
W401724636	Aziaha James	1	0.861111111111111	0.402777777777778	0.022202486678508	1	1	3
W401724636	Saniya Rivers	7	0.333333333333333	0.0897435897435897	0.0121124031007752	1	1	3
W401724636	Madison Hayes	6	0.342105263157895	0.210526315789474	0.0143802128271498	1	1	4
W401724649	Tilda Trygger	8	0.852941176470588	0.558823529411765	0.0182681768359518	0	1	1
W401724649	Zoe Brooks	10	0.8125	0.359375	0.0184755067567568	0	1	2
W401724649	Aziaha James	1	0.526315789473684	0.25	0.0146494779458768	0	1	3
W401724649	Saniya Rivers	7	0.333333333333333	0.0909090909090909	0.015460729746444	0	1	3
W401724649	Madison Hayes	6	0.444444444444444	0.25	0.0142554578038449	0	1	4
W401724655	Tilda Trygger	8	0.517241379310345	0.275862068965517	0.0207228116710875	1	1	1
W401724655	Zoe Brooks	10	0.12	-0.12	0.0145454545454545	1	1	2
W401724655	Aziaha James	1	0.447368421052632	0.184210526315789	0.0123355263157895	1	1	3
W401724655	Saniya Rivers	7	0.314285714285714	0.128571428571429	0.01	1	1	3
W401724655	Madison Hayes	6	0.605263157894737	0.381578947368421	0.0181686046511628	1	1	4
W401724662	Tilda Trygger	8	0.310344827586207	0.103448275862069	0.0146113383985973	0	1	1
W401724662	Zoe Brooks	10	0.15625	0	0.0102796052631579	0	1	2
W401724662	Aziaha James	1	0.482758620689655	0.137931034482759	0.0167799312022821	0	1	3
W401724662	Saniya Rivers	7	0.525	0.2375	0.00926906779661017	0	1	3
W401724662	Madison Hayes	6	0.588235294117647	0.382352941176471	0.0202517447657029	0	1	4
W401724673	Tilda Trygger	8	0.393939393939394	0.227272727272727	0.021043771043771	0	1	1
W401724673	Zoe Brooks	10	0.46875	0.15625	0.0162760416666667	0	1	2
W401724673	Aziaha James	1	0.551724137931034	0.293103448275862	0.0246720074306281	0	1	3
W401724673	Saniya Rivers	7	0.666666666666667	0.305555555555556	0.0149342891278375	0	1	3
W401724673	Madison Hayes	6	0.45	0.2875	0.0159090909090909	0	1	4
