id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,home,FGM,FGA,FTM,FTA,3PM,3PA,MP
401724857,Ben Middlebrooks,3,2,0,0,0,4,1,0,5,0,0,4,3,4,0,1,00:13:00
401724857,Dontrez Styles,18,7,0,0,0,3,3,4,4,0,3,6,11,14,1,3,00:33:00
401724857,Jayden Taylor,8,3,2,1,0,6,0,0,0,0,3,9,0,0,2,4,00:29:00
401724857,Trey Parker,19,3,5,0,1,5,0,0,2,0,6,11,2,2,5,8,00:28:00
401724857,Dennis Parker Jr.,2,1,1,0,0,2,0,1,0,0,1,3,0,0,0,1,00:11:00
401724868,Dontrez Styles,5,3,3,1,1,5,0,0,2,1,2,7,0,0,1,5,00:34:00
401724868,Jayden Taylor,3,2,1,2,0,3,0,1,1,1,1,4,0,0,1,4,00:22:00
401724868,Ben Middlebrooks,4,3,0,0,0,2,2,1,2,1,0,2,4,6,0,0,00:19:00
401724868,Trey Parker,13,1,3,0,0,8,0,2,3,1,5,13,0,0,3,6,00:22:00
401724868,Dennis Parker Jr.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:00:00
401724872,Ben Middlebrooks,6,4,1,3,1,1,0,0,3,1,3,4,0,0,0,0,00:28:00
401724872,Dontrez Styles,2,5,0,0,0,5,0,1,3,1,1,6,0,0,0,4,00:18:00
401724872,Jayden Taylor,19,3,1,4,1,10,1,1,4,1,6,16,5,6,2,8,00:37:00
401724872,Trey Parker,3,2,3,0,0,3,0,0,2,1,1,4,0,0,1,2,00:10:00
401724872,Dennis Parker Jr.,7,5,2,0,1,4,3,2,2,1,3,7,1,4,0,3,00:21:00
401724883,Ben Middlebrooks,0,1,3,0,1,4,0,1,2,0,0,4,0,0,0,1,00:21:00
401724883,Dontrez Styles,18,5,0,1,0,3,0,0,2,0,7,10,1,1,3,4,00:29:00
401724883,Jayden Taylor,19,2,0,0,0,5,2,1,4,0,8,13,1,3,2,6,00:32:00
401724883,Trey Parker,4,1,1,2,0,5,0,4,1,0,0,5,4,4,0,4,00:15:00
401724883,Dennis Parker Jr.,3,1,0,0,2,1,0,0,0,0,1,2,0,0,1,2,00:11:00
